Global Volcanism Program - Volcanoes of the World 5.1.7,,,Downloaded on 31 May 2024 at 03:23 PM,,,,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
353070,Abingdon,Synonym of Pinta,,,,,,,,,,,,,,,,,,,,,,,
355096,Acamarachi,Stratovolcano,Unknown,Chile,South America,"Northern Chile, Bolivia and Argentina",-23.292,-67.618,6023,Subduction zone / Continental crust (>25 km),Evidence Credible,Dacite,Andesite / Basaltic Andesite, , , , , , , , ,0,7,294,9092
354004,"Achacara, Loma",Pyroclastic cone of Andahua-Orcopampa,,,,,,,,,,,,,,,,,,,,,,,
357123,Achin-Niellu,Cone of Huanquihue Group,,,,,,,,,,,,,,,,,,,,,,,
357123,Achin-Niellu,Synonym of Huanquihue Group,,,,,,,,,,,,,,,,,,,,,,,
357090,"Agrio, del",Synonym of Caviahue,,,,,,,,,,,,,,,,,,,,,,,
355094,"Agua Amarga, Cerro",Dome of Purico Complex,,,,,,,,,,,,,,,,,,,,,,,
355150,Agua Caliente del Tuzgle,Thermal of Tuzgle,,,,,,,,,,,,,,,,,,,,,,,
357066,Agua de Torres,Pyroclastic cone of Payun Matru,,,,,,,,,,,,,,,,,,,,,,,
357066,Agua Poca,Vent of Payun Matru,,,,,,,,,,,,,,,,,,,,,,,
353050,"Agua, Cerro","Pyroclastic cone of Negra, Sierra",,,,,,,,,,,,,,,,,,,,,,,
355100,Aguas Calientes,Stratovolcano of Lascar,,,,,,,,,,,,,,,,,,,,,,,
355108,Aguas Perdidas,"Synonym of Negrillar, La",,,,,,,,,,,,,,,,,,,,,,,
357066,"Aguila, El",Pyroclastic cone of Payun Matru,,,,,,,,,,,,,,,,,,,,,,,
358062,Aguilera,Stratovolcano,-1253,Chile,South America,Southern Chile and Argentina,-50.33,-73.75,2546,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite, , , , , , , , , ,0,0,103,5698
355012,"Ajata, Volcanes de",Pyroclastic cone of Parinacota,,,,,,,,,,,,,,,,,,,,,,,
353090,Albany Island,Cone of Santiago,,,,,,,,,,,,,,,,,,,,,,,
353040,Alcedo,Shield,1993,Ecuador,South America,Galapagos Islands,-0.43,-91.12,1130,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , ,Rhyolite,Dacite,Andesite / Basaltic Andesite, , ,290,290,388,10756
357110,Aliante,Synonym of Llaima,,,,,,,,,,,,,,,,,,,,,,,
352031,Aliso,Stratovolcano,-2450,Ecuador,South America,Ecuador,-0.53,-78,4267,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Rhyolite,Dacite, , , , , , , ,0,0,0,0
355094,Alitar,Maar of Purico Complex,,,,,,,,,,,,,,,,,,,,,,,
357111,Alpehue,Crater of Sollipulli,,,,,,,,,,,,,,,,,,,,,,,
357066,Amarillo,Pyroclastic cone of Payun Matru,,,,,,,,,,,,,,,,,,,,,,,
354006,Ambato,Synonym of Ampato,,,,,,,,,,,,,,,,,,,,,,,
354006,Ampato,Stratovolcano of Sabancaya,,,,,,,,,,,,,,,,,,,,,,,
356011,"Anakena, Volcán",Pyroclastic cone of Rapa Nui,,,,,,,,,,,,,,,,,,,,,,,
356011,"Anamarama, Maunga",Pyroclastic cone of Rapa Nui,,,,,,,,,,,,,,,,,,,,,,,
352002,Anburo,Dome of Chachimbiro,,,,,,,,,,,,,,,,,,,,,,,
354004,Andagua Valley,Synonym of Andahua-Orcopampa,,,,,,,,,,,,,,,,,,,,,,,
354004,Andahua Valley,Synonym of Andahua-Orcopampa,,,,,,,,,,,,,,,,,,,,,,,
354004,Andahua-Orcopampa,Volcanic field,1490,Peru,South America,Peru,-15.42,-72.33,4713,Subduction zone / Continental crust (>25 km),Eruption Dated,Trachyandesite / Basaltic Trachyandesite, , , , ,Trachyte / Trachydacite, , , , ,10317,10317,16541,171897
354007,"Andes, Cerro los","Cone of Chachani, Nevado",,,,,,,,,,,,,,,,,,,,,,,
357022,Andres,Stratovolcano of Palomo,,,,,,,,,,,,,,,,,,,,,,,
357123,"Angostura, La",Tuff ring of Huanquihue Group,,,,,,,,,,,,,,,,,,,,,,,
352006,Angureal,Stratovolcano of Cayambe,,,,,,,,,,,,,,,,,,,,,,,
353060,"Animas, Cerro de las","Cone of Azul, Cerro",,,,,,,,,,,,,,,,,,,,,,,
357110,Anonimo,Synonym of Llaima,,,,,,,,,,,,,,,,,,,,,,,
354004,"Antaymarca, Volcán",Pyroclastic cone of Andahua-Orcopampa,,,,,,,,,,,,,,,,,,,,,,,
357153,Anticura Group,Pyroclastic cone of Antillanca Volcanic Complex,,,,,,,,,,,,,,,,,,,,,,,
357153,Antillanca Volcanic Complex,Stratovolcano(es),-230,Chile,South America,Central Chile and Argentina,-40.783,-72.15,1979,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,87,521,5986,530586
