Global Volcanism Program - Volcanoes of the World 5.1.7,,,,Downloaded on 31 May 2024 at 03:19 PM,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
353010,Fernandina,22560,Confirmed Eruption,SE flank,1,,,2024,,3,,2,,Observations: Satellite (visual),>,2024,,4,,19,,-0.37,-91.55
351060,Purace,22552,Confirmed Eruption,,,,,2023,,11,,16,,Observations: Reported,,2023,,11,,16,,2.32,-76.4
354020,Ubinas,22542,Confirmed Eruption,,,,,2023,,6,,22,,Observations: Reported,,2023,,12,,15,,-16.345,-70.8972
355100,Lascar,22493,Confirmed Eruption,,3,,,2022,,12,,10,,Observations: Reported,?,2023,,2,,21,,-23.37,-67.73
352050,Cotopaxi,22486,Confirmed Eruption,Summit crater,2,,,2022,,10,,21,,Observations: Reported,,2023,,7,,6,,-0.677,-78.436
351060,Purace,22451,Confirmed Eruption,Between Puracé and Curiquinga,1,,,2022,,3,,29,,Observations: Reported,,2022,,3,,29,,2.32,-76.4
353020,Wolf,22431,Confirmed Eruption,,2,,,2022,,1,,6,,Observations: Reported,,2022,,4,,14,,0.02,-91.35
357090,Copahue,22413,Confirmed Eruption,,1,,,2021,,7,,2,,Observations: Reported,,2021,,11,,6,,-37.856,-71.183
357090,Copahue,22376,Confirmed Eruption,Agrio Crater,2,,,2020,,6,,16,,Observations: Reported,,2020,,11,,2,,-37.856,-71.183
353010,Fernandina,22347,Confirmed Eruption,,0,,,2020,,1,,12,,Observations: Reported,,2020,,1,,13,,-0.37,-91.55
357090,Copahue,22336,Confirmed Eruption,Agrio Crater,2,,,2019,,8,,2,,Observations: Reported,,2019,,11,?,12,,-37.856,-71.183
354020,Ubinas,22324,Confirmed Eruption,,2,,,2019,,6,,24,,Observations: Reported,,2019,,9,,12,,-16.345,-70.8972
352090,Sangay,22312,Confirmed Eruption,,2,,,2019,,3,,26,,Observations: Reported,>,2024,,4,,19,,-2.005,-78.341
357040,Planchon-Peteroa,22297,Confirmed Eruption,,1,,,2018,,11,,7,,Observations: Reported,,2019,,5,,7,1,-35.223,-70.568
352090,Sangay,22283,Confirmed Eruption,,2,,,2018,,8,,8,,Observations: Reported,,2018,,12,,7,,-2.005,-78.341
353050,"Negra, Sierra",22279,Confirmed Eruption,Summit crater and NNW flank,2,,,2018,,6,,26,,Observations: Reported,,2018,,8,,23,,-0.83,-91.17
353010,Fernandina,22278,Confirmed Eruption,,1,,,2018,,6,,16,,Observations: Reported,,2018,,6,,21,,-0.37,-91.55
352090,Sangay,22259,Confirmed Eruption,Summit crater,1,,,2018,,2,,25,,Observations: Reported,,2018,,2,,25,,-2.005,-78.341
353010,Fernandina,22245,Confirmed Eruption,SSW caldera rim,2,,,2017,,9,,4,,Observations: Reported,,2017,,9,,7,1,-0.37,-91.55
352090,Sangay,22231,Confirmed Eruption,Summit crater,2,,,2017,,7,,20,,Observations: Reported,,2017,,10,,26,,-2.005,-78.341
357090,Copahue,22232,Confirmed Eruption,Agrio Crater,1,,,2017,,6,,4,,Observations: Reported,,2018,,12,,7,,-37.856,-71.183
354006,Sabancaya,22158,Confirmed Eruption,Sabancaya crater,3,,,2016,,11,,6,,Observations: Reported,>,2024,,4,,19,,-15.787,-71.857
354020,Ubinas,22181,Confirmed Eruption,Summit crater,2,,,2016,,9,,13,,Observations: Reported,,2017,,3,,2,,-16.345,-70.8972
