Global Volcanism Program - Volcanoes of the World 5.1.7,,,Downloaded on 30 May 2024 at 04:39 PM,,,,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
321040,Adams,Stratovolcano,950,United States,Canada and Western USA,USA (Washington),46.206,-121.49,3742,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,0,70,4019,393303
284160,Agrigan,Stratovolcano,1917,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",18.77,145.67,965,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,0,0,0
284141,Ahyi,Stratovolcano,2024,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.42,145.03,-75,Subduction zone / Crustal thickness unknown,Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,0,0
311320,Akutan,Stratovolcano,1992,United States,Alaska,Aleutian Islands,54.134,-165.986,1303,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite,Dacite, , , ,0,24,233,4361
284180,Alamagan,Stratovolcano,870,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",17.6,145.83,744,Subduction zone / Crustal thickness unknown,Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,0,0
320020,Alligator Lake,Volcanic field,Unknown,Canada,Canada and Western USA,Canada,60.42,-135.42,2217,Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,0,0,47,20636
311390,Amak,Stratovolcano,1796,United States,Alaska,Aleutian Islands,55.4184,-163.1472,547,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,1345
311190,Amukta,Stratovolcano,1997,United States,Alaska,Aleutian Islands,52.5,-171.252,1066,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,0
284200,Anatahan,Stratovolcano,2008,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.35,145.67,790,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , ,0,0,0,0
312090,Aniakchak,Caldera,1931,United States,Alaska,Alaska Peninsula,56.88,-158.17,1341,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , ,0,0,36,479
